Model,Brand,Regular Price (BDT),Special Price (BDT),Discount (BDT),Processor Brand,Processor Model,Processor Frequency (GHz),RAM (GB),RAM Type,Storage,Display Size (inch),Display Type,Graphics Model,Battery Type,Battery Capacity (WHr),Number of Reviews
 IdeaPad Slim 5i,Lenovo,167090,155000,12090,Intel ,Core i7-1255U,4,16,DDR4 ,512GB M.2 NVME SSD M.2 NVME SSD,15,LED,Nvidia MX550 Graphics,Integrated ,76,0
 Katana GF66 12UEOK,MSI,135300,127000,8300,Intel ,Core i5-12450H,3,16,DDR5,512GB  NVMe PCIe Gen4x4 SSD,15,LED,NVIDIA GeForce RTX 3060,3 cell Integrated,53,0
 Summit E16 Flip Evo A13MT,MSI,198990,183900,15090,Intel ,Core i7-1360P,2,16,LPDDR5,1TB NVMe PCIe Gen4x4 SSD,16,IPS,Intel Iris Xe graphics,4 cell,82,0
 Surface Laptop Studio,Microsoft,302500,292000,10500,Intel ,Core i7-11370H Processor,3,32,LPDDR4x,1TB SSD,14,PixelSense Flow Display,NVIDIA GeForce RTX 3050 Ti  ,Integrated,,0
 Raider GE66 12UHS,MSI,0,0,0,,,,,, ,,,,,,0
 Summit E13 Flip Evo A13MT,MSI,0,0,0,Intel,Core i7-1360P,2,16,LPDDR5,1TB NVMe PCIe Gen4,13,IPS,Intel Iris Xe graphics,4-Cell,70,0
 Legion 5i,Lenovo,268860,248000,20860,Intel,Core i7-12700H,2,16,DDR5,1TB NVMe PCIe,15, LED,Nvidia RTX 3060 Graphics,Integrated ,80,0
 Surface Laptop 5,Microsoft,214500,205000,9500,Intel ,Core i7 1255U,4,16,LPDDR5X,512GB NVMe PCIe SSD,13,PixelSense ,Integrated Intel Iris Xe Graphics,,47,0
 Zenbook Pro 14 Duo OLED UX8402ZA-M3031W ,Asus,233275,224990,8285,Intel,i7-12700H,2,16,LPDDR5,1TB M.2 NVMe PCIe 4.0 Performance SSD,14,OLED,Intel Iris Xe Graphics,"4S1P, 4-cell Li-ion",76,0
 Titan GT77HX 13VI,MSI,836890,774900,61990,Intel ,Core i9-13980HX,2,64,DDR5,4TB (2TBx2) NVMe PCIe Gen4x4 SSD,17,IPS,NVIDIA GeForce RTX 4090,4 cell,99,0
 Raider GE68 HX 13VG,MSI,423500,395000,28500,Intel ,Core i9-13980HX,2,32,DDR5,2TB NVMe PCIe Gen4x4 SSD,16,LED,NVIDIA GeForce RTX 4070,4 cell Li-Ion,99,0
