Model,Brand,Regular Price (BDT),Special Price (BDT),Discount (BDT),Processor Brand,Processor Model,Processor Frequency (GHz),RAM (GB),RAM Type,Storage,Display Size (inch),Display Type,Graphics Model,Battery Type,Battery Capacity (WHr),Number of Reviews
Asus ZenBook 14 UM3402YA,Asus,139420,129000,10420,AMD,Ryzen 7 5825U,4,16,LPDDR4x,512GB SSD,14,QHD+ WQXGA LED Display,AMD Radeon Graphics,4 Cell Li-Ion,75,7
Lenovo IdeaPad Slim 5i Pro 16ITL-6,Lenovo,130740,121000,9740,Intel,Core i5 11300H,4,16,DDR4,512GB SSD,16,2.5K WQXGA IPS LED Display,Nvidia MX450 Graphics,4 Cell Li-Ion Li-Polymer,,1
Lenovo Legion 5 Pro 16ARH7H,Lenovo,211030,195000,16030,AMD,Ryzen 7 6800H,4,16,DDR5,1TB SSD,16,2.5K QHD WQXGA Display,Nvidia RTX 3070 Graphics,,80,0
Asus ZenBook S 13 OLED UX5304VA,Asus,205070,189900,15170,Intel,Core i7 1355U,5,16,LPDDR5,1TB SSD,13,2.8K OLED WQHD,Intel Iris Xe Graphics,4 Cell Li-ion,63,13
Lenovo Legion 5i 15IAH7H,Lenovo,269080,249000,20080,Intel,Core i7 12700H,4,16,DDR5,512GB SSD,15,2.5K WQHD Display,Nvidia RTX 3070 Graphics,,80,25
Apple MacBook Pro (2023),Apple,265280,245000,20280,Apple,Apple M2 Pro,,16,Unmentioned,512GB SSD,14,Liquid Retina XDR Display,Apple 16-core GPU,,70,13
Asus ROG Zephyrus G15 GA503RW,Asus,252810,235000,17810,AMD,Ryzen 9 6900HS,4,32,DDR5,1TB SSD,15,2.5K WQHD Display,Nvidia RTX 3070 Ti Graphics,3 Cell Li-ion,90,10
Lenovo Legion Slim 7i 16IAH7,Lenovo,275590,255000,20590,Intel,Core i7 12700H,4,16,DDR5,1TB SSD,16,2.5K QHD WQXGA Display,Nvidia RTX 3060 Graphics,,99,21
MSI Creator Z16 HX Studio B13VFTO,MSI,395480,365000,30480,Intel,Core i7 13700HX,5,32,DDR5,2TB SSD,16,QHD+ LED Display,Nvidia RTX 4060 Graphics,,90,0
Lenovo LOQ 15APH8,Lenovo,165460,153000,12460,AMD,Ryzen 7 7840HS,5,16,DDR5,512GB SSD,15,FHD LED Display,Nvidia RTX 4050 Graphics,,60,10
MSI Stealth 16 Mercedes AMG A13VF,MSI,379210,349900,29310,Intel,Core i9 13900H,5,32,DDR5,1TB SSD,16,4K UHD+ OLED Display,Nvidia RTX 4060 Graphics,,99,10
Asus ProArt StudioBook 16 H5600QR,Asus,359140,333000,26140,AMD,Ryzen 9 5900HX,4,32,DDR4,1TB SSD,16,4K WQUXGA OLED,Nvidia RTX 3070 Graphics,4 Cell Li-ion,90,0
MSI Pulse 15 B13VFK,MSI,194220,179500,14720,Intel,Core i7 13700H,5,16,DDR5,512GB SSD,15,FHD LED Display,Nvidia RTX 4060 Graphics,,90,11
Asus ZenBook Pro 14 OLED UX6404VV,Asus,329840,305000,24840,Intel,Core i9 13900H,5,16,DDR5,1TB SSD,14,2.8K OLED WQHD,Nvidia RTX 4060 Graphics,4 Cell Li-Ion,76,0
Apple Macbook Pro (Early 2023),Apple,423150,390000,33150,Apple,Apple M2 Pro,,32,Unmentioned,1TB SSD,16,Liquid Retina XDR Display,Apple 19-core GPU,,100,8
Apple MacBook Pro (Early 2023),Apple,692230,640000,52230,Apple,Apple M2 Max,,64,Unmentioned,4TB SSD,14,Liquid Retina XDR Display,Apple 38-core GPU,,70,10
MSI Raider GE68 HX 13VG,MSI,428030,395000,33030,Intel,Core i9 13950HX,5,32,DDR5,2TB SSD,16,4K UHD+ LED Display,Nvidia RTX 4070 Graphics,,99,0
Asus ProArt StudioBook 16 H5600QM,Asus,296210,275000,21210,AMD,Ryzen 7 5800H,4,16,DDR4,1TB SSD,16,4K WQUXGA OLED,Nvidia RTX 3060 Graphics,4 Cell Li-ion,90,0
Acer Predator Helios 16 PH16-71-74MN,Acer,297290,274900,22390,Intel,Core i7 13700HX,5,32,DDR5,1TB SSD,16,,Nvidia RTX 4070 Graphics,4 Cell Lithium Ion,90,10
Asus ZenBook Pro Duo 14 OLED UX8402ZE,Asus,291870,269990,21880,Intel,Core i7 12700H,4,16,LPDDR5,512GB SSD,14,2.8K OLED WQHD,Nvidia RTX 3050 Ti Graphics,4 Cell Li-ion,76,12
Microsoft Surface Laptop Studio 2,Microsoft,286980,265000,21980,Intel,Core i7 13700H,5,16,Unmentioned,512GB SSD,14,PixelSense Flow MultiTouch Display,Intel Iris Xe Graphics,,56,9
Asus ROG Strix G17 G713RM,Asus,240330,222000,18330,AMD,Ryzen 7 6800H,4,16,DDR5,512GB SSD,17,FHD IPS LED Display,Nvidia RTX 3060 Graphics,4 Cell Li-ion,90,1
Acer Predator Helios 16 PH16-71-70L4,Acer,238590,219900,18690,Intel,Core i7 13700HX,5,16,DDR5,1TB SSD,16,2.5K QHD+ WQXGA Display,Nvidia RTX 4060 Graphics,4 Cell Lithium Ion (Li-Ion),90,9
Acer Predator Helios 16 PH16-71-92RZ,Acer,389520,359900,29620,Intel,Core i9 13900HX,5,32,DDR5,1TB SSD,16,2.5K QHD+ WQXGA Display,Nvidia RTX 4080,4 Cell Li-Ion,90,10
Asus ROG Strix G15 G513RM,Asus,229480,212000,17480,AMD,Ryzen 7 6800H,4,16,DDR5,512GB SSD,15,FHD IPS LED Display,Nvidia RTX 3060 Graphics,4 Cell Li-ion,90,1
Asus ZenBook Pro Duo 14 OLED UX8402ZA,Asus,238700,224990,13710,Intel,Core i7 12700H,4,16,LPDDR5,1TB SSD,14,2.8K OLED WQHD,Intel Iris Xe Graphics,4 Cell Li-ion,76,11
MSI Summit E13 Flip Evo A13MT,MSI,205610,189900,15710,Intel,Core i7 1360P,5,16,LPDDR5,1TB SSD,13,FHD+ LED Display,Intel Iris Xe Graphics,,70,9
Lenovo Yoga Slim 7i Carbon 13IAP7,Lenovo,203980,189000,14980,Intel,Core i7 1260P,4,16,DDR5,1TB SSD,13,,Intel Iris Xe Graphics,,50,23
Asus TUF Dash F15 FX517ZM,Asus,201270,186000,15270,Intel,Core i5 12450H,4,16,DDR5,512GB SSD,15,FHD LED Display,Nvidia RTX 3060 Graphics,4 Cell Li-ion,76,10
Asus ZenBook Duo UX482EG,Asus,200180,185500,14680,Intel,Core i7 1165G7,4,16,LPDDR4x,512GB SSD,14,FHD,Nvidia MX450 Graphics,4 Cell Li-ion,70,1
Lenovo ThinkPad L13 Gen 3,Lenovo,200180,185000,15180,Intel,Core i7 1255U,4,16,DDR4,512GB SSD,13,FHD LED Display,Intel Iris Xe Graphics,,,5
Asus ExpertBook L2 Flip L2402FYA,Asus,111540,103000,8540,AMD,Ryzen 5 5625U,4,8,DDR4,512GB SSD,14,FHD LED Touch Display,AMD Radeon Graphics,3 Cell Li-ion,48,13
MSI GF63 Thin 12UCX,MSI,107960,99900,8060,Intel,Core i5 12450H,4,8,DDR4,512GB SSD,15,FHD IPS LED Display,Nvidia RTX 2050 Graphics,,52,11
Asus VivoBook S15 S513EQ,Asus,107630,99500,8130,Intel,Core i5 1135G7,4,8,DDR4,512GB SSD,15,FHD OLED Display,Nvidia MX350 Graphics,3 Cell Li-ion,42,1
Lenovo ThinkPad L14,Lenovo,107200,99000,8200,Intel,Core i5 1145G7,4,8,DDR4,512GB SSD,14,HD,Intel Iris Xe Graphics,,45,0
MSI Stealth 16 Mercedes AMG A13VG,MSI,433890,399900,33990,Intel,Core i9 13900H,5,32,DDR5,2TB SSD,16,4K UHD+ OLED Display,Nvidia RTX 4070 Graphics,,99,10
Modern 15 A5M,MSI,87670,81000,6670,AMD,Ryzen 7 5700U,4,8,DDR4,512GB SSD,15,FHD IPS LED Display,AMD Radeon Graphics,,52,4
HP 15s-eq3619AU,HP,79210,73200,6010,AMD,Ryzen 5 5625U,4,8,DDR4,512GB SSD,15,FHD IPS LED Display,AMD Radeon Graphics,3 Cell Li-ion,41,15
Asus VivoBook 14 X1402ZA,Asus,77360,71500,5860,Intel,Core i3 1220P,4,8,DDR4,512GB SSD,14,FHD,Intel UHD Graphics,3 Cell Li-Ion,42,10
Asus VivoBook Go 15 E1504FA,Asus,70310,65000,5310,AMD,Ryzen 3 7320U,4,8,LPDDR5,512GB SSD,15,FHD LED Display,AMD Radeon Graphics,3 Cell Li-ion,42,9
Acer Aspire 3 A315-59-5031,Acer,80070,74000,6070,Intel,Core i5 1235U,4,8,DDR4,512GB SSD,15,FHD LED Display,Intel Iris Xe Graphics,3 Cell Li-ion,40,10
Acer Aspire 5 5P-A515-58P,Acer,68680,63500,5180,Intel,Core i3 1305U,4,8,LPDDR5,512GB SSD,15,FHD LED Display,Intel UHD Graphics,3 Cell Li-ion,50,9
Acer Aspire 3 A315-24P-R77Z,Acer,67270,62000,5270,AMD,Ryzen 5 7520U,4,8,DDR5,512GB SSD,15,FHD LED Display,AMD Radeon 610M Graphics,3 Cell Li-Polymer,40,14
Acer Extensa 15 EX215-54-57SB,Acer,69220,64000,5220,Intel,Core i5 1135G7,4,8,DDR4,1TB HDD,15,FHD,Intel Iris Xe Graphics,2 Cell Lithium Ion (Li-Ion),36,1
Acer Aspire 3 A315-59-57VA,Acer,80070,74000,6070,Intel,Core i5 1235U,4,8,DDR4,512GB SSD,15,FHD,Intel Iris Xe Graphics,3 Cell Li-ion,40,11
 Prelude N50 Pro,Walton,44825,43750,1075,Intel,Pentium Silver N5030,1,8,DDR4,"256GB M.2 2280 SSD, SATA interface",14,IPS,Intel UHD Graphics 605,Embedded Polymer Smart Lithium-Ion battery pack,36,0
 P1511CMA,Asus,39490,37500,1990,Intel ,Celeron Processor N4020 ,1,4,DDR4 ,1TB HDD,15,,Intel UHD Graphics 600,2-cell Li-ion (2S1P),37,0
 Prelude N41 Pro,Walton,43945,42550,1395,Intel,Celeron N4120,1,8,DDR4,"256GB M.2 2280 SSD, SATA interface",14,IPS,Intel UHD Graphics 600,Embedded Polymer Smart Lithium-Ion battery pack,36,0
 15s-fq3617TU,HP,46980,46980,0,Intel,Celeron N4500 ,1,4,DDR4,256GB PCIe NVMe M.2 SSD,15,,Intel UHD Graphics,3-cell Li-ion,41,0
 Vivobook E410MA,Asus,47740,45000,2740,Intel ,Celeron Processor N4020,1,4,DDR4 ,256GB  PCIEG3 SSD,14,LED ,Integrated Intel UHD,2 -Cell,37,0
 E210MA,Asus,39050,37000,2050,Intel ,Celeron Processor N4020,1,4,DDR4 ,256GB  PCIEG3 SSD,11,LED ,Intel UHD Graphics 600,2 -Cell Li-ion,33,0
 TravelMate TMB 311-31-C3CD,Acer,36850,34500,2350,,,,,, ,,,,,,0
 IdeaPad Slim 3i,Lenovo,37950,35500,2450,Intel ,Celeron Processor N4020,1,4,DDR4,256GB SSD M.2 2242 PCIe 3.0x4 NVMe SSD,15,,Integrated Intel UHD Graphics 600,,45,0
 Dynabook Satellite Pro C40-G-13F,Toshiba,33420,31000,2420,Intel,Celeron 5205U,1,4,DDR4,256GB M.2 SATA SSD,14,,Intel UHD Graphics,2 cell lithium-ion,45,0
 IdeaPad D330 10IGL,Lenovo,38630,35800,2830,Intel ,Celeron N4020,1,4,DDR4 ,128GB eMMC 5.1 SSD,10,HD IPS LED Display,Intel UHD 600 Graphics,Li-Polymer,39,0
 Chromebook 514 CB514-1W,Acer,65350,62000,3350,Intel,Core i3-1115G4,3,8,LPDDR4X,128GB M.2 NVME SSD,14,IPS,Intel Iris Xe Graphics,3-cell Li-ion,48,0
  IdeaPad Flex 5 14ALC7,Lenovo,97000,91500,5500,AMD,Ryzen 5 5500U,2,16,LPDDR4x,512GB SSD,14,IPS,Integrated AMD Radeon,Li-Polymer,52,0
 Prelude N40 Pro,Walton,40425,39750,675,Intel,Celeron N4020,1,8,DDR4,"256GB M.2 2280 SSD, SATA interface",14,IPS,Intel UHD Graphics 600,Embedded Polymer Smart Lithium-Ion battery pack,36,0
 IdeaPad 3 15ALC6,Lenovo,85250,80500,4750,AMD,AMD Ryzen 7 5700U,1,16,LPDDR4x,512GB SSD,15,IPS,Integrated AMD Radeon,Li-Polymer,45,0
 VivoBook 14 X415EA ,Asus,58500,56000,2500,Intel ,Core i3-1115G4,3,4,DDR4 ,256GB  PCIEG3 SSD,14, IPS-LEVEL,Intel UHD Graphics,2 cell Lithium-ion battery,37,0
 Freedom A9,DOEL,32999,32999,0,AMD,A9-9425,3,4,DDR4,240GB SATAIII M.2 2280 SSD,14,,AMD Radeon R5 Graphics,Embedded Polymer Smart Lithium-Ion battery pack,7,0
 VivoBook 15 X515EA ,Asus,56100,51900,4200,Intel ,Core i3-1115G4,3,4,DDR4 ,1TB  HDD ,15,IPS ,Intel UHD Graphics," 2S1P, 2-cell Li-ion",37,0
 Dynabook Satellite Pro C40-G-11I,Toshiba,46550,45000,1550,Intel,Core i3 10110U,2,8,DDR4,256GB M.2 SATA SSD,14,,Intel UHD Graphics,2 cell lithium-ion,45,0
 TravelMate TMP214-54,Acer,103400,98000,5400,Intel,Core i7-1255U,3,8,DDR4,512GB PCIe NVMe M.2 SSD,14,LED,Intel Iris Xe Graphics,,,0
 VivoBook 15 X515JA,Asus,54790,51500,3290,Intel,Core i3-1005G1,1,4,DDR4,512GB NVMe PCIe,15,,Intel UHD Graphics,"2S1P, 2-cell Li-ion",37,0
 Aspire 3 A315-24P,Acer,55550,51400,4150,AMD,Ryzen 3 7320U,2,8,DDR5,"512GB PCIe Gen4, 8 Gb/s SSD",15,TFT LCD,AMD Radeon,3-cell Lithium Ion (Li-Ion),40,0
 Vostro 14 3400,Dell,52250,52250,0,Intel ,Core i3-1115G4 ,3,4,DDR4,1TB  SATA Hard Drive,14,,Intel UHD Graphics,3-Cell Integrated,42,0
 VivoBook 15 M515DA,Asus,54580,50500,4080,AMD,Ryzen 3 3250U,2,4,DDR4,1TB HDD SATA III,15,,AMD Radeon Graphics,Li-ion,37,0
 TravelMate TMP215-53,Acer,0,0,0,Intel,Core i3-1115G4,2,4,DDR4,1TB 2.5-inch 5400 RPM HDD + 128GB Nvme SSD SSD + HDD,15,LED,Intel Iris Xe Graphics,3-cell Li-ion,48,0
 15s-eq1578AU,HP,52840,52840,0,AMD ,AMD Ryzen 3050U,2,8,DDR4,256 GB  PCIe NVMe SSD,15,,AMD Radeon Graphics,3 Cell  Li-ion,41,0
 IdeaPad 1 15ADA7,Lenovo,53930,49900,4030,AMD,Ryzen 3 3250U,2,8,DDR4,512GB  NVMe PCIe SSD,15,TN,AMD Radeon Graphics,3 Cell Li-ion,41,0
 T10,DOEL,54449,49499,4950,Intel,Core i3 10110U,2,4,DDR4,512GB M.2 2280 SSD,14,,Intel UHD Graphics,Embedded 3 cells Smart Lithium-Ion,36,0
 ExpertBook BR1100FKA,Asus,49500,47500,2000,Intel,Celeron N4500 Processor,1,4,DDR4,256GB NVMe PCIe,11,HD LED Touch Display,Intel UHD Graphics,3 Cell Li-ion,42,0
 VivoBook 15 E510MA,Asus,49910,47000,2910,Intel ,Celeron Dual Core N4020 ,1,4,DDR4 ,512GB PCIe G3 SSD,15,,Intel UHD Graphics 600,3 Cell Li-ion Battery,42,0
 IdeaPad Slim 3i 14ITL6 ,Lenovo,61600,57500,4100,Intel,Core i3-1115G4,3,8,DDR4,512GB SSD,14,LED,Intel UHD Graphics,,45,0
 Tamarind MX311G,Walton,58190,57500,690,Intel,Core i3-1115G4,3,8,DDR4,"512GB M.2 2280, PCIe Gen3x4 SSD",14,IPS,Intel UHD Graphics,4 cells Smart Lithium-Ion,49,0
 Latitude 3520,Dell,82240,76000,6240,Intel,Core i5-1135G7,2,8,DDR4 ,512GB SSD SSD,15,LED,Intel UHD Graphics,3 Cell ,42,0
 Inspiron 15 3520,Dell,69770,64500,5270,Intel,Core i3-1215U,4,8,DDR4 ,512GB M.2 PCIe NVMe SSD,15,,Intel UHD Graphics,3-Cell Integrated,41,0
 IdeaPad Slim 3i 14IAU7,Lenovo,60500,56500,4000,Intel,Core i3-1215U,3,8,DDR4,256GB SSD,14,TN,Intel UHD Graphics,,45,0
 Inspiron 15 3525 ,Dell,63690,58900,4790,AMD,Ryzen 3 5425U,2,8,DDR4 ,256GB M.2 PCIe NVMe SSD,15,,AMD Radeon Graphics,3-Cell Battery (Integrated),41,0
 V14,Lenovo,57750,57750,0,Intel ,Core i3-1115G4,3,4,DDR4 ,1TB + 256GB SSD SATA HDD + SSD,14,,Intel UHD Graphics,Integrated 2Cell Li-Polymer,38,0
 VivoBook 15 D515DA,Asus,58090,55500,2590,AMD,Ryzen 3 3250U ,2,4,DDR4 ,512GB PCIe G3 SSD,15,,AMD Radeon VEGA3 Graphics,2-Cell  lithium-polymer Battery,37,0
 Inspiron 14 7420 2 in 1,Dell,0,0,0,Intel ,Core i7-1255U,4,16,DDR4,512GB  M.2 PCIe NVMe SSD,14,LED,Nvidia MX550 Graphics,4-Cell Integrated battery,54,0
 ExpertBook B1 B1500CEAE,Asus,63800,63800,0,Intel ,Core i3-1115G4 Processor,3,4,DDR4 ,1TB HDD + 256GB NVMe SSD Added SATA + SSD,15,LED,Intel UHD Graphics,3-cell Li-ion Battery,42,0
 15s-eq2618AU,HP,60000,55500,4500,AMD ,Ryzen 3 5300U,2,8,DDR4,512 GB  PCIe NVMe SSD,15,,AMD Radeon Graphics,3 Cell  Li-ion,41,0
 Latitude 14 5420,Dell,0,0,0,Intel ,Core i5-1145G7,2,8,DDR4 ,512GB  M.2 PCIe NVMe SSD,14,,Intel Iris Xe Graphics,3 Cell  ExpressCharge Capable Battery,42,0
 Latitude 3430,Dell,0,0,0,Intel,Core i5-1235U,4,8,DDR4 ,512GB M.2 PCIe NVMe SSD,14,LED,Intel UHD Graphics,3-Cell Integrated,41,0
 15s-fq5487TU,HP,64340,59500,4840,Intel,Core i3-1215U ,4,8,DDR4 ,256 GB  PCIe NVMe M.2 SSD,15,LED,Intel UHD Graphics,3-cell Li-ion,41,0
 Passion BX310U,Walton,50450,49850,600,Intel,Core i3 10110U,2,8,DDR4,512GB SATAIII M.2 2280 SSD,15,,Intel UHD Graphics,3 cells Smart Lithium-Ion,36,0
 Inspiron 15 3510,Dell,0,0,0,Intel, Celeron N4020,1,4,DDR4 ,1TB  SATA HDD,15,,Intel UHD Graphics 600,"3 Cell, Lithium-Polymer ",,1
 Latitude 14 3420,Dell,97125,90500,6625,Intel ,Core i7-1165G7 ,2,8,DDR4 ,512GB M.2 PCIe NVMe SSD,14,,Intel Iris Xe Graphics,3 Cell ExpressCharge Capable ,41,0
 Aspire 3 A315-59-39P4,Acer,62150,58000,4150,Intel,Core i3-1215U,3,8,DDR4,512GB NVMe PCIe,15,LED,Intel UHD Graphics,3-cell Lithium Ion (Li-Ion),40,0
 Aspire 3 A315-510P,Acer,63690,58900,4790,Intel,Core i3-N305,3,8,LPDDR5,"512GB PCIe Gen3, 8 Gb/s up to 4 lanes, NVMe",15,TFT LCD,Intel UHD Graphics,3-cell Lithium Ion (Li-Ion),40,0
 Extensa 15 EX215-54-57SB,Acer,69220,64000,5220,,,,,, ,,,,,,0
 MateBook B3-520,HUAWEI,64670,59800,4870,Intel,Core i3-1115G4,3,8,LPDDR4X,256 GB NVMe PCIe SSD,15,IPS,Intel UHD Graphics,Lithium polymer,42,0
 Inspiron 15 3511,Dell,0,0,0,Intel ,Core i5-1135G7,2,8,DDR4 ,512GB SSD,15,,Intel UHD Graphics,3-Cell Battery  Integrated,41,0
 Latitude 15-3520,Dell,0,0,0,Intel,Core i3-1115G4,3,4,DDR4 ,1TB SATA HDD,15,LED,Intel UHD Graphics,3 Cell ,42,0
 Aspire 5 5P-A515-58P,Acer,68680,63500,5180,Intel,Core i3-1305U,4,1,LPDDR5,512 GB SSD,15,IPS,Intel UHD Graphics,3-cell Li-ion,50,0
 MateBook D15,HUAWEI,64600,64600,0,Intel,Intel Core i3-1115G4,2,8,DDR4,256GB NVMe PCle SSD,15,IPS,Intel UHD Graphics,,42,0
 VivoBook 15 X1502ZA,Asus,68090,63900,4190,Intel,Core i3-1215U,4,4,DDR4,256GB PCIe NVMe M.2 SSD,15,FHD,Intel UHD Graphics,3-cell,42,0
 Vostro 15 3500,Dell,0,0,0,Intel ,Core i3-1115G4 ,3,4,DDR4,1TB SATA HDD,15,,Intel UHD Graphics ,3-Cell ,42,2
 VivoBook 15 X1500EA ,Asus,67810,62800,5010,Intel ,Core i3-1115G4,3,8,DDR4 ,512GB SSD NVMe PCIe,15,IPS ,Intel UHD Graphics," 2S1P, 2-cell Li-ion",37,0
 VivoBook 14 X1402ZA,Asus,74540,69000,5540,Intel,Core i3 1220P,4,4,DDR4,512GB PCIe NVMe M.2 SSD,14,IPS,Intel UHD Graphics,3-cell,42,0
 Latitude 9430 2-in-1,Dell,0,0,0,Intel,Core i7 1265U,4,16,DDR5,512GB   M.2 NVMe PCIe SSD,14,,Intel Iris Xe Graphics,"Polymer, 3-Cell",60,0
 Dell XPS 13 Plus 9320,Dell,0,0,0,Intel ,Core i7-1260P,2,16,LPDDR5,512GB M.2 PCIe NVMe SSD,13,3.5K OLED Display,Intel Iris Xe Graphics,3-Cell Integrated battery,55,0
 K14,Lenovo,67500,66500,1000,Intel,Core i3-1115G4,3,8,DDR4,512GB M.2 2242 PCIe TLC SSD,14,TN,Intel Iris Xe ,3Cell Li-Polymer,45,0
 XPS 13 9315,Dell,0,0,0,Intel ,Core i7-1250U,1,16,LPDDR5,512GB  M.2 PCIe NVMe SSD,13,LED,Intel Iris Xe Graphics,3-Cell Integrated battery,51,0
 XPS 15 9510,Dell,0,0,0,Intel ,Core i7-11800H,2,16,DDR4 ,1TB M.2 PCIe NVMe Solid State Drive,15,,NVIDIA GeForce RTX 3050 Ti ,6-Cell Battery (Integrated),86,0
